cust,pin_pkg,prod_id,bd_id,Location,Original ENT(08:30),Original ENT(11:00),Allocate ENT,Output plan
ICSI,FBGA-96UEF,096EFBU002,ABU096EF2002A,TA,1.0,1.0,3,93121
ICSI,MINIBGA48A1,048MABU002,CU048MA2012A,TA,1.0,1.0,3,15912
ICSI,MINIBGA48J3U,048MABU065,ABU048MA7002A,TA,1.0,1.0,1,0
ICSI,MINIBGA48J3U,048MABU068,ABU048MA7001A,TA,1.0,0,1,0
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA,3.0,3.0,3,0
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA-2,0,0,2,6240
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA-3,0,0,2,9322
ICSI,TSOP1-48/48M,048TPBU013,ABU048TP2003B,TA,1.0,1.0,1,0
ISSI-VG,DFN-08Y62D,008Y6VG005,ABU008Y62001A,TB-IP,4.0,0,4,0
ISSI-VG,DFN-08Y62D,008Y6VG005,ABU008Y62001A,TB-U,0,0,3,211510
ISSI-VG,DFN-08YD2A,008YDVG003,ABU008YD2008A,TB-U,0,0,3,203449
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-P,2.0,1.0,4,14080
ISSI-VG,DFN-08YD2A,008YDVG005,ABU008YD2001A,TB-U,2.0,0,6,24129
ISSI-VG,DFN-08YD2A,008YDVG010,ABU008YD2002A,TB-U,1.0,1.0,3,7040
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-P,5.0,4.0,6,32000
ISSI-VG,DFN-08YM2D,008YMVG003,ABU008YM2002A,TB-U,1.0,1.0,8,405629
ISSI-VG,MBGA24J4U,024MAVG011,ABU024MA6010A,TA-2,2.0,1.0,4,17632
ISSI-VG,STBGA24J4U,024XJVG009,ABU024XJ6003A,TA-3,2.0,2.0,3,34707
ISSI-VG,VFBGA63H8L,063NWVG005,ABU063NW1004A,TA,1.0,1.0,1,0
LAPIS,SSLGA16DOU,016D5OK004,AOK016D53002A,TA-P,9.0,7.0,9,0
LAPIS,TSOP1-48A2,048TVOK056,AOK048TV1029A,TA-3,0,0,4,12800
LAPIS,TSOP1-48A2,048TVOK056,AOK048TV1029A,TA-P,6.0,4.0,6,0
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TA-2,0,0,18,172079
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-5P,16.0,13.0,24,83994
MTI,FBGA-78U9,078U9MS017,AMS078C93001B,TB-B,2.0,1.0,2,0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA,16.0,21.0,51,225996
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA-2,0,0,1,5466
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA-3,4.0,2.0,4,0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TA-P,2.0,2.0,2,0
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5B,13.0,10.0,13,19722
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-5P,33.0,31.0,41,44934
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-B,0,0,1,3600
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-I,0,1.0,7,36337
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-IP,0,1.0,4,22346
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-P,0,3.0,12,90055
MTI,FBGA-78UEN,078ENMS009,AMS078EN1001A,TB-U,0,0,1,7121
MTI,FBGA-78UEP,078EPMS002,AMS078EP1001A,TA-P,3.0,3.0,3,0
MTI,FBGA-78UEP,078EPMS002,AMS078EP1001A,TB-5P,13.0,10.0,13,0
MTI,FBGA-96UEC,096ECMS003,AMS096EC1002A,TA,1.0,0,1,0
MTI,FBGA-96UEC,096ECMS003,AMS096EC1002A,TA-U,1.0,0,1,0
MTI,FBGA-96UEC,096ECMS003,AMS096EC1002A,TB-5P,2.0,2.0,2,0
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TA,0,0,9,73600
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TA-2,3.0,3.0,6,33427
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TA-3,2.0,2.0,6,39918
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TA-U,3.0,3.0,3,0
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TB-5B,0,0,4,37437
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TB-5P,0,0,12,101592
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TB-IP,2.0,2.0,2,0
MTI,FBGA-96UEC,096ECMS010,AMS096EC3001B,TB-U,7.0,7.0,7,0
MTI,FBGA-96UEE,096EEMS006,AMS096EE2001A,TA-2,3.0,2.0,3,0
