CUSTOMER,Pin-pkg,Prod_ID,Bond ID,TA/TB,entity,Lot amount,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB442,2,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB455,1,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB496,1,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB497,1,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB528,2,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB550,2,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB591,1,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB601,2,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB612,2,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB616,2,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB620,2,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA,BB622,2,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-2,BB708,1,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-2,BB736,1,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-2,BB762,1,,
ICSI,FBGA-96LEA,096EABU001,ABU096EA1001A,TA-3,BB213,2,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB443,3,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB458,2,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB475,2,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB480,2,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB531,2,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB544,4,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB558,2,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB562,3,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB580,2,,
ICSI,FBGA-96UEF,096EFBU001,ABU096EF2001A,TA,BB586,3,,
ICSI,FBGA-96UEF,096EFBU002,ABU096EF2002A,TA,BB471,11,,
ICSI,FBGA-96UEF,096EFBU002,ABU096EF2002A,TA,BB473,11,,
ICSI,MINIBGA48A1,048MABU002,CU048MA2012A,TA,BB468,2,,
ICSI,MINIBGA48A1,048MABU002,CU048MA2012A,TA,BB597,2,,
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA-2,BB704,2,,
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA-2,BB717,1,,
ICSI,MINIBGA54A4L,054MFBU005,ABU054MF2001B,TA-2,BB789,2,,
ISSI-VG,DFN-08Y62D,008Y6VG005,ABU008Y62001A,TB-U,BB857,8,,
ISSI-VG,DFN-08Y62D,008Y6VG005,ABU008Y62001A,TB-U,BB892,9,,
ISSI-VG,DFN-08Y62D,008Y6VG005,ABU008Y62001A,TB-U,BB895,9,,
ISSI-VG,DFN-08YD2A,008YDVG003,ABU008YD2008A,TB-U,BB816,18,,
ISSI-VG,DFN-08YD2A,008YDVG003,ABU008YD2008A,TB-U,BB908,20,,
ISSI-VG,DFN-08YD2A,008YDVG003,ABU008YD2008A,TB-U,BB916,20,,
